id,key,value,type
21442033,capital,4,regular
21442033,ele,6,regular
21442033,is_in,"USA, Hawaii",regular
21442033,country,USA,is_in
21442033,country_code,US,is_in
21442033,iso_3166_2,US-HI,is_in
21442033,ocean,Pacific,is_in
21442033,is_state,Hawaii,regular
21442033,name,Honolulu,regular
21442033,de,Honolulu,name
21442033,en,Honolulu,name
21442033,haw,Honolulu,name
21442033,ja,ホノルル,name
21442033,lt,Honolulu,name
21442033,pl,Honolulu,name
21442033,ru,Гонолулу,name
21442033,uk,Гонолулу,name
21442033,zh,檀香山市,name
21442033,place,city,regular
21442033,population,390738,regular
21442033,date,2010,population
21442033,source,Landsat,regular
21442033,state_capital,yes,regular
21442033,wikidata,Q18094,regular
21442033,wikipedia,en:Honolulu,regular
21445111,is_in,"USA, Hawaii",regular
21445111,name,Hilo,regular
21445111,en,Hilo,name
21445111,haw,Hilo,name
21445111,ja,ヒロ,name
21445111,ru,Хило,name
21445111,uk,Хіло,name
21445111,place,city,regular
21445111,source,Location:Landsat photo,regular
21445111,wikidata,Q216258,regular
21445111,wikipedia,"en:Hilo, Hawaii",regular
88479330,created_by,JOSM,regular
88479360,created_by,JOSM,regular
88479461,created_by,JOSM,regular
88479494,created_by,JOSM,regular
88480005,created_by,JOSM,regular
88480551,created_by,JOSM,regular
88480599,created_by,JOSM,regular
88480628,created_by,JOSM,regular
88480662,created_by,JOSM,regular
88480869,created_by,JOSM,regular
88480879,created_by,JOSM,regular
88480884,created_by,JOSM,regular
88481155,created_by,JOSM,regular
88481166,created_by,JOSM,regular
88481307,created_by,JOSM,regular
88481641,created_by,JOSM,regular
88481693,name,Paliuli,regular
88481693,source,http://upload.wikimedia.org/wikipedia/commons/c/cf/Kauai_F21159G3_geo.jpg,regular
88481693,natural,cape,regular
88482084,created_by,JOSM,regular
88482230,created_by,JOSM,regular
88482839,created_by,JOSM,regular
88482859,created_by,JOSM,regular
88483249,created_by,JOSM,regular
88483284,created_by,JOSM,regular
88483294,created_by,JOSM,regular
88483306,created_by,JOSM,regular
88542620,created_by,JOSM,regular
88542641,created_by,JOSM,regular
88542652,created_by,JOSM,regular
88918882,created_by,JOSM,regular
88918891,created_by,JOSM,regular
88918907,created_by,JOSM,regular
88918913,created_by,JOSM,regular
88930345,created_by,JOSM,regular
88930364,created_by,JOSM,regular
88930375,description,Northest point on the Hawaiʻian island of Maui,regular
88930375,name,Nakalele Point,regular
88930375,en,Nakalele Point,name
88930375,haw,lae o Nakalele,name
88930375,ru,мыс Накалеле,name
88930375,natural,cape,regular
88930375,place,cape,regular
88930386,created_by,JOSM,regular
88930390,created_by,JOSM,regular
88930394,created_by,JOSM,regular
88930423,created_by,JOSM,regular
88930460,created_by,JOSM,regular
88930464,created_by,JOSM,regular
88930535,created_by,JOSM,regular
88930610,created_by,JOSM,regular
88930622,created_by,JOSM,regular
88930696,created_by,JOSM,regular
88930769,created_by,JOSM,regular
88930796,created_by,JOSM,regular
88930960,created_by,JOSM,regular
88931127,created_by,JOSM,regular
88931231,created_by,JOSM,regular
88931874,created_by,JOSM,regular
88931878,created_by,JOSM,regular
88931931,created_by,JOSM,regular
88932045,created_by,JOSM,regular
88932059,created_by,JOSM,regular
88932251,created_by,JOSM,regular
88932386,created_by,JOSM,regular
88932398,created_by,JOSM,regular
88932467,created_by,JOSM,regular
88932480,created_by,JOSM,regular
88932513,created_by,JOSM,regular
88932525,created_by,JOSM,regular
88932629,created_by,JOSM,regular
88932639,created_by,JOSM,regular
88932657,created_by,JOSM,regular
88932666,created_by,JOSM,regular
88932679,created_by,JOSM,regular
88933123,created_by,JOSM,regular
