id,key,value,type
4045746,aeroway,taxiway,regular
4060580,natural,coastline,regular
4060580,source,PGS,regular
4060588,natural,coastline,regular
4060588,source,PGS,regular
4060613,natural,coastline,regular
4060613,source,PGS;Bing,regular
4060636,natural,coastline,regular
4060636,source,PGS,regular
10384608,source,PGS,regular
10384608,natural,coastline,regular
10384619,source,PGS,regular
10384619,natural,coastline,regular
10384637,natural,coastline,regular
10384637,source,PGS,regular
10390766,place,islet,regular
10390766,natural,coastline,regular
10415798,natural,coastline,regular
10415798,source,PGS,regular
10415817,natural,coastline,regular
10415817,source,PGS,regular
10415829,source,PGS,regular
10415829,natural,coastline,regular
10415845,source,Bing,regular
10415845,natural,coastline,regular
10415859,landuse,grass,regular
10415859,name,Keopuka Rock,regular
10415859,natural,coastline,regular
10415859,place,islet,regular
10415859,source,PGS,regular
10418960,name,Coconut Island,regular
10418960,place,islet,regular
10418960,source,PGS,regular
10418960,natural,coastline,regular
10418960,haw,Moku Ola,name
10418960,wikipedia,en:Coconut Island (Hawaii Island),regular
10419004,source,Bing,regular
10419004,natural,coastline,regular
10569276,aeroway,taxiway,regular
10569276,ref,RG,regular
10569351,ref,E,regular
10569351,aeroway,taxiway,regular
10569410,ref,16/34,regular
10569410,name,16-34,regular
10569410,aeroway,runway,regular
10569475,ref,D,regular
10569475,aeroway,taxiway,regular
10569511,ref,J,regular
10569511,aeroway,taxiway,regular
10569665,ref,05/23,regular
10569665,aeroway,runway,regular
10569891,aeroway,taxiway,regular
10569891,ref,E,regular
10569891,source,bing,regular
12196971,highway,residential,regular
12196971,name,Lupua Place,regular
12196971,cfcc,A41,tiger
12196971,county,"Honolulu, HI",tiger
12196971,name_base,Lupua,tiger
12196971,name_type,Pl,tiger
12196971,reviewed,no,tiger
12197000,highway,residential,regular
12197000,name,Launahele Street,regular
12197000,cfcc,A41,tiger
12197000,county,"Honolulu, HI",tiger
12197000,name_base,Launahele,tiger
12197000,name_type,St,tiger
12197000,reviewed,no,tiger
12197032,highway,residential,regular
12197032,name,Nonohe Street,regular
12197054,highway,unclassified,regular
12197054,name,Uluohia Street,regular
12197070,name,Hopena Way,regular
12197070,highway,living_street,regular
12197100,highway,residential,regular
12197100,cfcc,A41,tiger
12197100,tlid,203252242,tiger
12197100,county,"Honolulu, HI",tiger
12197100,source,tiger_import_dch_v0.6_20070809,tiger
12197100,reviewed,no,tiger
12197100,separated,no,tiger
12197100,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12197127,highway,residential,regular
12197127,cfcc,A41,tiger
